ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
15695,simple,Gt928211,,"12' x 14' Hardtop Aluminum Gazebo with Galvanized Steel Roof & Sliding Doors",1,0,visible,,"<div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,2964.29,"Outdoor Spaces",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-19.png, https://alidouro.com/wp-content/uploads/2025/03/2306073_FOOTPRINT-IMPERIAL.png, https://alidouro.com/wp-content/uploads/2025/03/P11_arcadia-beam.png",,,,,,,,,0,
15706,simple,pR210029,,"Backyard Discovery Ridgedale Traditional Pergola with Built-in Conversation Seating",1,0,visible,,"<div>
\n<div>The Backyard Discovery Ridgedale Pergola is a maintenance-free outdoor retreat with built-in seating. Constructed with 100% galvanized steel and stainless-steel hardware, this Durable Pergola combines privacy, shade, and functionality.</div>
\n<div>✔ Strong Steel Construction: Outperforms aluminum or vinyl with its robust, powder-coated galvanized steel frame.</div>
\n<div>✔ Built-in Seating: Features reinforced galvanized steel furniture with Sunbrella cushions in 4 color options for comfort and style.</div>
\n<div>✔ Soft Shade Canopy: Light-filtering, UV-protected, breathable fabric that allows airflow and prevents water pooling.</div>
\n<div>✔ Composite Panels: Provide extra privacy and enhanced shade.</div>
\n<div>✔ Versatile Design: Perfect for patios, poolsides, gardens, or fire pit areas, creating an intimate, cozy setting.</div>
\n<div>✔ Easy Assembly: Pre-assembled with interactive BILT app for step-by-step guidance.</div>
\n<div>Thishigh-performancepergolawillelevateanyoutdoorspacewithitssleekmoderndesignandlong-lastingmaterials.</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,2983.20,"Outdoor Spaces",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-20.png, https://alidouro.com/wp-content/uploads/2025/03/P1AModernWhiteIndigo.png, https://alidouro.com/wp-content/uploads/2025/03/2306073_HERO-1.png, https://alidouro.com/wp-content/uploads/2025/03/kdalda.png",,,,,,,,,0,
15711,simple,CH819233,,"Champion Power Equipment 15,000/12,000 Watts Portable Generator with Electric Start & Lift Hook",1,0,visible,,"<div>The Champion 15,000/12,000 Watts Portable Generator offers reliable power with Electric Start and a Lift Hook.</div>
\n&nbsp;
\n<div>✔ 15,000 starting watts &amp; 12,000 running watts, up to 9 hours runtime.</div>
\n<div>✔ Electric start with Cold Start Technology for easy cold weather starts.</div>
\n<div>✔ Multiple outlets (120V, 240V, GFCI) with Volt Guard™ for overload protection.</div>
\n<div>✔ EPA &amp; CARB Compliant for safe, eco-friendly use.</div>
\n<div></div>",,,taxable,,1,100,,0,0,,,,,1,,,3040.88,"Power Generators",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-1-1.png, https://alidouro.com/wp-content/uploads/2025/03/81YBMAE2T-L._AC_SL1500.png, https://alidouro.com/wp-content/uploads/2025/03/81u6qO6fylL._AC_SL1500.png, https://alidouro.com/wp-content/uploads/2025/03/81JRZXeBq0L._AC_SL1500.png",,,,,,,,,0,
15724,simple,Bl21102,,"Bluetti Portable Generator 2200W With 350W Solar Panel Included, AC200MAX 2048Wh Solar Generator W/ 4 2200W AC Outlets, Expandable to 8192Wh for Home Backup",1,0,visible,,"<div>
\n<div>The Bluetti AC200MAX solar generator combines powerful performance and versatility. With a 2200W pure sine wave inverter (4800W surge) and 2048Wh capacity, it can handle various devices with ease. It includes a 350W solar panel for efficient solar charging, reducing power loss even in low-light conditions. Featuring 16 outlets, including 30A NEMA TT-30 and 12V 30A DC ports, it’s ideal for home backup, camping, or RV use. Expandable up to 8192Wh with additional batteries, it offers a reliable, eco-friendly power solution.</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,3094.80,"Power Generators",,,"https://alidouro.com/wp-content/uploads/2025/03/lbelbala.png.png, https://alidouro.com/wp-content/uploads/2025/03/71V8Rgc15jL._AC_SL1500-1.png, https://alidouro.com/wp-content/uploads/2025/03/71UU9svON1L._AC_SL1500.png, https://alidouro.com/wp-content/uploads/2025/03/71GixHDYXeL._AC_SL1500.png",,,,,,,,,0,
15730,simple,DU119292,,"DuroMax XP5500EH 5,500 Watt Portable Dual Fuel Generator",1,0,visible,,"Key Features:
\n<ul>
\n 	<li>5,500 starting watts &amp; 4,500 running watts: Handles heavy loads, from lights and refrigerators to air conditioners and high-power tools.</li>
\n 	<li>Dual Fuel Technology: Runs on gasoline or propane, providing fuel flexibility.</li>
\n 	<li>Powerful 224cc OHV engine: Delivers reliable power for various tasks.</li>
\n 	<li>MX2 Technology: Maximizes power from both 120V and 240V receptacles, ideal for RVs.</li>
\n 	<li>Low oil shutoff: Automatically shuts off when oil is low, protecting the engine.</li>
\n 	<li>Fully featured power panel: Includes 2x 120V household GFCI outlets, 1x 120/240V 30A twist lock outlet, voltmeter, and 12V DC charging posts.</li>
\n 	<li>Complies with EPA and CARB emissions standards: Environmentally friendly operation.</li>
\n</ul>",,,taxable,,1,100,,0,0,,,,,1,,,3419.80,"Power Generators",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-6.png, https://alidouro.com/wp-content/uploads/2025/03/71PI0GmLw2L._AC_SL1200.png, https://alidouro.com/wp-content/uploads/2025/03/71p4ITc29hL._AC_SL1200.png, https://alidouro.com/wp-content/uploads/2025/03/61eKpPaYKtL._AC_SL1200.png",,,,,,,,,0,
15736,simple,Cp112101,,"Champion Power Equipment 8.5kW Home Standby Generator with ATS50 Outdoor Rated Automatic Transfer Switch",1,0,visible,,"<div>
\n<div>Key Features:</div>
\n<ul>
\n 	<li> Automatic Operation: The generator starts automatically during a power outage and switches back to standby when power is restored.</li>
\n 	<li>All-Weather Performance: The 24-volt starting system works in temperatures ranging from -22°F to 104°F, with no warming kit required.</li>
\n 	<li>Self-Diagnostic Tests: Performs weekly self-tests to ensure the system is always ready during emergencies.</li>
\n 	<li>No Refueling Required: Connected to your propane or natural gas system, eliminating the need for manual refueling.</li>
\n 	<li>Quiet Operation: Operates at a residential-friendly 59.5 dBA, about the same noise level as normal conversation, thanks to sound-dampening features and a low-tone muffler.</li>
\n 	<li>Powerful: Provides 8.5 kW of continuous power on propane and 7.5 kW on natural gas.</li>
\n 	<li>Ideal for Essentials: The ATS50 transfer switch supports 50 amps and up to 8 circuits, perfect for powering essential appliances during an outage.</li>
\n 	<li>Safe for Sensitive Electronics: Generates less than 5% total harmonic distortion (THD) for safe operation with electronics.</li>
\n 	<li> Champion Support: Includes a 10-year limited warranty and lifetime technical support.</li>
\n</ul>
\n<div>
\n<div>What's in the Box:</div>
\n<ul>
\n 	<li>HSB Enclosure Keys</li>
\n 	<li>LPG Jets</li>
\n 	<li>Jet Change Tool</li>
\n 	<li>Oil Drain Pan</li>
\n 	<li>Battery Cables &amp; Hardware</li>
\n 	<li>Flexible Fuel Line</li>
\n</ul>
\n</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,3789.20,"Power Generators",,,"https://alidouro.com/wp-content/uploads/2025/03/replace.png, https://alidouro.com/wp-content/uploads/2025/03/81jhY4SMsrL._AC_SL1500.png, https://alidouro.com/wp-content/uploads/2025/03/71HCSmCH7TL._AC_SL1500.png",,,,,,,,,0,
15752,simple,ha10291,,"Husqvarna 23 HP 48″ Deck Riding Mower",1,0,visible,,"<div>
\n<div>🚜 Upgrade Your Mowing Experience!</div>
\n<div>The Husqvarna 200 Series riding lawn mowers are designed for premium comfort and top-tier performance. Whether you’re tackling a large yard or rough terrain, this mower delivers exceptional results with precision and power.</div>
\n<div>Key Features:</div>
\n<div>✅ Powerful 23 HP Kawasaki Engine – Delivers high performance for smooth and efficient mowing.</div>
\n<div>✅ 48″ ClearCut™ Cutting Deck – Built for durability, backed by a lifetime shell warranty.</div>
\n<div>✅ Automatic Locking Differential – Increases traction by sensing wheel slip and locking the rear wheels.</div>
\n<div>✅ Premium Comfort Seat – Extra-thick, cushioned vinyl seat with a stitched design for superior ride quality.</div>
\n<div>✅ User-Friendly Controls – Easy-access blade engagement lever and automatic choke for quick startup.</div>
\n<div>✅ X-Line Series Upgrades: Soft-touch steering wheel, brush guard, premium gauges, and LED headlights for enhanced visibility.</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,3948.20,"Riding Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-16.png, https://alidouro.com/wp-content/uploads/2025/03/wg-781640.png, https://alidouro.com/wp-content/uploads/2025/03/mj-419480.png, https://alidouro.com/wp-content/uploads/2025/03/pm-370205.png",,,,,,,,,0,
15758,simple,Cr199281,,"Craftsman 30″ 10.5 HP 344cc 6-Speed Riding Lawn Mower",1,0,visible,,"<div>
\n<div>🚜 Compact, Powerful &amp; Built for Precision!</div>
\n<div>The CRAFTSMAN R110 rear-engine riding mower is perfect for homeowners seeking a comfortable, durable, and efficient mowing experience. Designed for tight spaces, it features a 30-inch steel deck and 6-speed transmission, making lawn care effortless.</div>
\n<div>Key Features:</div>
\n<div>✅ Powerful Performance – 10.5 HP Briggs &amp; Stratton® single-cylinder engine ensures smooth starting and reliable operation.</div>
\n<div>✅ Compact &amp; Maneuverable – The 30-inch reinforced stamped steel deck is ideal for yards up to 1 acre and fits through most gates.</div>
\n<div>✅ Effortless Control – 18-inch turning radius and Turf Saver wheels provide easy navigation around obstacles.</div>
\n<div>✅ Comfort &amp; Convenience – Mid-back seat and soft-touch telescopic steering wheel for a smooth ride.</div>
\n<div>✅ Nighttime Mowing – Integrated LED headlights enhance visibility for late-evening mowing.</div>
\n<div>✅ Mulching &amp; Nutrient Return – Includes a mulching kit to recycle grass clippings for a healthier lawn.</div>
\n<div>✅ Reliable Warranty – Backed by a 2-year limited manufacturer warranty.</div>
\n<div>🔧 Compatible Accessories:</div>
\n<div>Bagging attachment: (1136130)</div>
\n<div>Deck belt: (1160088)</div>
\n<div>Air filter: (51137)</div>
\n<div>Oil filter: (43522)</div>
\n<div>Spark plug: (201261)</div>
\n<div>Replacement blade: (17031)</div>
\n<div>✨ Tackle your yard with ease and achieve a professional finish with the CRAFTSMAN R110! 🚜</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,2649.80,"Riding Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/1.png, https://alidouro.com/wp-content/uploads/2025/03/4.png, https://alidouro.com/wp-content/uploads/2025/03/2.png, https://alidouro.com/wp-content/uploads/2025/03/3.png",,,,,,,,,0,
15764,simple,Dk10234,,"Detail K2 Universal 82"" x 19"" SUV & Truck Snow Plow Kit with Remote",1,0,visible,,"<div>
\n<div>❄️ Conquer Winter with Ease!</div>
\n<div>Upgrade your snow removal game with the Detail K2 Universal Snow Plow Kit—a heavy-duty, rust-resistant steel plow designed for SUVs and light-duty trucks. Built for efficiency, it easily attaches to a 2-inch front receiver hitch, making snow clearing faster and more convenient than ever.</div>
\n<div>Key Features:</div>
\n<div>✅ Universal Fit – Mounts onto any 2-inch Class III front receiver hitch, making it compatible with most SUVs and light trucks.</div>
\n<div>✅ Wireless Remote Control – Raise or lower the plow without leaving your vehicle for maximum comfort and efficiency.</div>
\n<div>✅ Multiple Angling Positions – Manually adjustable and lockable into three different angles for versatile snow-clearing control.</div>
\n<div>✅ Durable Steel Build – Powder-coated, rust-resistant steel construction ensures long-lasting performance.</div>
\n<div>✅ Effortless Attachment &amp; Removal – Integrated caster wheels simplify installation and storage.</div>
\n<div>✅ Complete Kit – Includes a snow deflector, skid shoes, and blade markers, so no additional accessories are required.</div>
\n<div>✅ Quick Assembly – Designed for easy setup with common hand tools.</div>
\n<div>Specifications:</div>
\n<div></div>
\n<div>Material: Heavy-duty steel with powder coating</div>
\n<div>Blade Dimensions: 82"" W x 19"" H</div>
\n<div>Weight: 265 lbs</div>
\n<div>Mounting System: 2-inch Class III front receiver hitch</div>
\n<div>Warranty: 1-year manufacturer warranty</div>
\n<div>🚜 Clear your driveway effortlessly and tackle even the toughest winter storms with the Detail K2 Snow Plow Kit! ❄️</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,3092.88,"Riding Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-4.png, https://alidouro.com/wp-content/uploads/2025/03/22.png, https://alidouro.com/wp-content/uploads/2025/03/33.png, https://alidouro.com/wp-content/uploads/2025/03/44.png",,,,,,,,,0,
15770,simple,Dr92012,,"DR Leaf and Lawn Vacuum Pro 330",1,0,visible,,"<div>
\n<div>🍂 Effortless Lawn Cleanup for Medium-to-Large Properties!</div>
\n<div>The DR PRO 330 Leaf and Lawn Vacuum is designed to handle even the heaviest yard debris with ease. Its high-capacity 330-gallon collection system ensures less frequent dumping, making lawn maintenance faster and more efficient.</div>
\n<div>Key Features:</div>
\n<div>✅ Massive Capacity – Holds 44 cubic feet (330 gallons) of leaves, grass clippings, and debris, reducing the number of emptying trips.</div>
\n<div>✅ Powerful Engine – Equipped with a 9.2 HP OHV engine with a cast iron cylinder sleeve for durability and reliable performance.</div>
\n<div>✅ Quick &amp; Easy Dumping – Designed for effortless unloading, saving time and effort.</div>
\n<div>✅ Ideal for Larger Properties – Perfect for medium-to-large lawns with substantial cleanup needs.</div>
\n<div>Specifications:</div>
\n<div>Engine: 9.2 HP OHV with cast iron cylinder sleeve</div>
\n<div>Collection Capacity: 44 cubic feet (330 gallons)</div>
\n<div>Application: Ideal for leaf and lawn debris collection on medium-to-large properties</div>
\n<div>🍁 Keep your lawn looking pristine with minimal effort—choose the DR PRO 330 Leaf and Lawn Vacuum today! 🌿</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,3479.80,"Riding Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-3.png, https://alidouro.com/wp-content/uploads/2025/03/122.png, https://alidouro.com/wp-content/uploads/2025/03/221.png, https://alidouro.com/wp-content/uploads/2025/03/222.png",,,,,,,,,0,
15776,simple,Hn12010,,"Husqvarna Z248F Zero Turn Lawn Mower – 48″ 726Cc 23Hp V-Twin",1,0,visible,,"<div>
\n<div>🏡 Turn Lawn Maintenance into a Breeze!</div>
\n<div>The Husqvarna Z248F Zero Turn Mower combines power, precision, and durability to deliver a flawless mowing experience. Designed with innovative features and heavy-duty construction, this mower is built for homeowners and professionals who demand the best.</div>
\n<div>Key Features:</div>
\n<div>✅ Powerful Engine – Equipped with a 23HP Kawasaki V-Twin engine, ensuring smooth, quiet, and reliable performance.</div>
\n<div>✅ Zero-Turn Maneuverability – Effortlessly navigate around tight spaces, trees, and obstacles for a perfectly even cut.</div>
\n<div>✅ ClearCut™ Fabricated Deck – A 48″ welded 10-gauge steel deck with reinforced strips enhances durability and cutting precision.</div>
\n<div>✅ Maintenance-Free Transmission – Integrated zero-turn transmissions provide worry-free performance without frequent upkeep.</div>
\n<div>✅ Ergonomic Control Panel – Everything is conveniently placed at your fingertips for easy operation.</div>
\n<div>✅ Advanced Park Brake System – Patent-pending technology automatically engages or disengages when the steering levers are moved outward or inward.</div>
\n<div>✅ Refined Design – Rubber bellows protect the control system from debris and moisture, increasing longevity.</div>
\n<div>✅ Non-Slip Footrest – Designed for safety and comfort, even during extended use.</div>
\n<div>Specifications:</div>
\n<div>Engine: 23HP Kawasaki V-Twin</div>
\n<div>Cutting Deck: 48"" ClearCut™ Fabricated Steel (10-gauge with reinforcement)</div>
\n<div>Transmission: Integrated, maintenance-free, zero-turn system</div>
\n<div>Maneuverability: Zero-turn radius for ultimate control</div>
\n<div>Safety: Patent-pending automatic park brake system</div>
\n<div>🌿 Experience next-level lawn care with the Husqvarna Z248F Zero Turn Mower – Built for performance, durability, and ease of use! 🚜</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,3839.70,"Riding Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-10.png, https://alidouro.com/wp-content/uploads/2025/03/aa.png, https://alidouro.com/wp-content/uploads/2025/03/bb.png, https://alidouro.com/wp-content/uploads/2025/03/cc.png",,,,,,,,,0,
15782,simple,Dr219292,,"DR Power Premier Walk-Behind Lawn and Leaf Vac – 28 Inch",1,0,visible,,"<div>
\n<div>🍂 Effortless Lawn &amp; Leaf Cleanup with the DR Power Premier Walk-Behind Vac!</div>
\n<div>Designed for maximum efficiency and ease of use, this walk-behind vacuum is perfect for residential and commercial use, handling leaves, grass clippings, and debris with powerful suction and self-propelled maneuverability.</div>
\n<div>Key Features:</div>
\n<div>✅ Powerful Engine – 9.2 HP (301cc) DR OHV engine ensures high performance and reliability.</div>
\n<div>✅ Self-Propelled Drive – Features 3 forward speeds and 1 reverse speed for easy movement.</div>
\n<div>✅ EZ-Turn™ Steering – Designed for nimble maneuvering around tight spaces and obstacles.</div>
\n<div>✅ Onboard Chipper – Mulches branches up to 2” in diameter for added versatility.</div>
\n<div>✅ High-Capacity Collection – 8 cu. ft. (80 lbs) capacity reduces collected material at a 10:1 ratio.</div>
\n<div>✅ Adjustable Intake Height – Ranges from 1” to 5” for different lawn conditions.</div>
\n<div>✅ Convenient Emptying – Side zipper openings make disposal quick and effortless.</div>
\n<div>✅ Durable Build – All-steel impeller with a Lifetime Warranty ensures long-term reliability.</div>
\n<div>✅ Stable &amp; Smooth Ride – Turf Tread tires (14” x 4.5” front, 8” x 3” rear) for optimal traction and control.</div>
\n<div>Specifications:</div>
\n<div>Engine: 9.2 HP (301cc) DR OHV</div>
\n<div>Drive System: Self-propelled (3 forward speeds, 1 reverse)</div>
\n<div>Intake Height: Adjustable (1” – 5”)</div>
\n<div>Chipping Capacity: Branches up to 2” diameter</div>
\n<div>Collection Capacity: 8 cu. ft. (80 lbs)</div>
\n<div>Material Reduction: 10:1 compression ratio</div>
\n<div>Weight: 250 lbs</div>
\n<div>Tires: 14” x 4.5” (front), 8” x 3” (rear)</div>
\n<div>🍃 Make lawn cleanup faster, easier, and more efficient with the DR Power Premier Walk-Behind Lawn and Leaf Vac! 🌿🚀</div>
\n</div>",,,taxable,,1,100,,0,0,,,,,1,,,3259.80,"Walk-Behind Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/v.png, https://alidouro.com/wp-content/uploads/2025/03/vv.png, https://alidouro.com/wp-content/uploads/2025/03/vvvv.png, https://alidouro.com/wp-content/uploads/2025/03/vvvvvv.png",,,,,,,,,0,
15788,simple,u87665,,"Ego Power+ 21"" Select Cut XP Mower with Touch Drive Kit",1,0,visible,,"<div>
\n<div>🌿 Elevate Your Lawn Care with EGO POWER+</div>
\n<div>The EGO POWER+ 21"" Select Cut XP Mower combines cutting-edge technology with premium performance to give you the perfect lawn. Whether you're mowing small or large lawns, this mower is engineered to deliver exceptional cutting results without the hassle of gas.</div>
\n<div>Key Features:</div>
\n<div>✅ Select Cut Multi-Blade System – Offers premium cutting performance that outperforms gas-powered mowers.</div>
\n<div>✅ Touch Drive Self-Propelled Technology – Gives you complete control right at your fingertips, making mowing easier and more efficient.</div>
\n<div>✅ Extended Runtime – With the 56V 10.0 Ah ARC Lithium battery, enjoy up to 75 minutes of run time on a single charge, allowing for uninterrupted lawn care.</div>
\n<div>✅ Durability &amp; Performance – Built to withstand tough outdoor conditions, ensuring long-lasting use and reliable results.</div>
\n<div>Specifications:</div>
\n<div>Cutting Width: 21 inches</div>
\n<div>Battery: 56V 10.0 Ah ARC Lithium</div>
\n<div>Self-Propelled Technology: Touch Drive</div>
\n<div>Runtime: Up to 75 minutes on a full charge</div>
\n<div>Cutting System: Multi-blade Select Cut System for superior performance</div>
\n<div>🌱 Power through your lawn care tasks with the efficient, eco-friendly EGO POWER+ mower, featuring self-propelled convenience and exceptional cutting quality! 🌟</div>
\n</div>",,,taxable,,1,101,,0,0,,,,,1,,,4098.70,"Walk-Behind Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/w.png, https://alidouro.com/wp-content/uploads/2025/03/wwwwwwwwwwwwww.png, https://alidouro.com/wp-content/uploads/2025/03/wwwwww.png, https://alidouro.com/wp-content/uploads/2025/03/wwwww.png, https://alidouro.com/wp-content/uploads/2025/03/www.png, https://alidouro.com/wp-content/uploads/2025/03/ww.png",,,,,,,,,0,
15796,simple,Dk11921,,"Detail K2 Big Dump 1100 Pound Electric Power Dump Cart",1,0,visible,,"<div>
\n<div>🚜 The Ultimate Electric Dump Cart for Heavy-Duty Tasks</div>
\n<div>The Detail K2 Big Dump 1100 Pound Electric Power Dump Cart is built for those tough jobs where durability, power, and efficiency are essential. With a hydraulic electric ram and all-terrain wheels, this cart is ready to tackle large loads and challenging terrain effortlessly.</div>
\n<div>Key Features:</div>
\n<div>✅ Hydraulic Electric Ram – 90-degree vertical dump for easy unloading, powered by a 48V hydraulic sealed piston.</div>
\n<div>✅ Self-Propelled &amp; Articulated Rear Axle – Designed for uneven ground, the articulated axle adjusts automatically to improve mobility.</div>
\n<div>✅ All-Terrain Wheels – Equipped with oversized drive wheels (6 x 6.5-8) and rear wheels (11 x 4-4) to navigate all types of terrain.</div>
\n<div>✅ High Lift Capacity – Capable of lifting up to 1100 lbs, allowing for the transportation of large, heavy loads with ease.</div>
\n<div>✅ Battery &amp; Run Time – Includes a deep cycle battery (4 x 12V 20 Ah / 1000 Watts) for up to 6 hours of run time and a 5-hour charge time.</div>
\n<div>✅ Speed &amp; Convenience – Reaches up to 6 MPH, making it quick to transport materials. The self-propelled function operates both forward and backward, allowing for smooth operation.</div>
\n<div>✅ Improved Brakes &amp; Throttle – New and upgraded brakes and throttle for enhanced performance and safety.</div>
\n<div>Specifications:</div>
\n<div>Max Lift Capacity: 1100 lbs</div>
\n<div>Battery: 4 x 12V 20 Ah / 1000 Watts</div>
\n<div>Run Time: 6 hours (average)</div>
\n<div>Charge Time: 5 hours</div>
\n<div>Max Speed: 6 MPH</div>
\n<div>Dump Style: 90-degree hydraulic dump</div>
\n<div>Wheels: All-terrain tires (Drive Wheels: 6 x 6.5-8 / Rear Wheels: 11 x 4-4)</div>
\n<div>Capacity: 8 cu ft. quick change sealed “wet” bucket</div>
\n<div>Hand Brake: With lock</div>
\n<div>Warranty: 1-year chassis warranty</div>
\n<div>A Must-Have for Heavy Lifting and Transportation Tasks</div>
\n<div>With its powerful features and rugged build, the Detail K2 Big Dump Electric Power Dump Cart is designed to take on challenging loads and terrains, offering reliable performance and ease of use.</div>
\n</div>",,,taxable,,1,101,,0,0,,,,,1,,,3453.80,"Walk-Behind Lawn Mowers",,,"https://alidouro.com/wp-content/uploads/2025/03/Untitled-design-2.png, https://alidouro.com/wp-content/uploads/2025/03/ff.png, https://alidouro.com/wp-content/uploads/2025/03/fff.png, https://alidouro.com/wp-content/uploads/2025/03/fffffff.png, https://alidouro.com/wp-content/uploads/2025/03/fffffffff.png, https://alidouro.com/wp-content/uploads/2025/03/fffffffffffff.png",,,,,,,,,0,
15804,simple,Dr711192,,"DR Power Pro 26 Field And Brush Mower 15.5 HP",1,0,visible,,"<div>
\n<div>🌿 Efficient and Powerful Brush Mower for Tough Jobs</div>
\n<div>The DR Power Pro 26 Field and Brush Mower 15.5 HP is designed for the toughest mowing tasks, providing enhanced power and control. Perfect for clearing thick brush, tall grass, and saplings, this mower offers 50% more power than the 10.5 HP model and is packed with features for reliable performance on challenging terrain.</div>
\n<div>Key Features:</div>
\n<div>✅ Powerful Engine: Equipped with a 15.5 HP engine, providing nearly 50% more power than the 10.5 HP model for better performance.</div>
\n<div>✅ Electric Start: Electric start for easy and quick operation.</div>
\n<div>✅ Full-Pressure Oil Pump: Ensures better lubrication for slopes up to 20°, making it ideal for hilly properties.</div>
\n<div>✅ Power Steering: Features power steering with independent disc brakes on each wheel for easier maneuverability. You can turn on a dime, even on tough terrains.</div>
\n<div>✅ Increased Brush-Busting Capacity: The mower can handle saplings up to 2.5 inches thick, making it perfect for tough brush clearing.</div>
\n<div>✅ Hill Mowing Ready: Mow safely and effectively on slopes, thanks to the full-pressure oil pump that provides continuous lubrication even when working on inclines.</div>
\n<div>✅ Improved Tracking &amp; Traction: Feathering the uphill brake allows for better control when mowing across slopes.</div>
\n<div>Specifications:</div>
\n<div>Engine Power: 15.5 HP</div>
\n<div>Mowing Capacity: Brush and saplings up to 2.5 inches thick</div>
\n<div>Oil Pump: Full-pressure oil pump for better lubrication on slopes</div>
\n<div>Steering: Power steering with independent disc brakes on each wheel</div>
\n<div>Slope Capability: Mows on slopes up to 20°</div>
\n<div>Mowing Type: Ideal for thick brush, tall grass, and hilly terrain</div>
